Date,AGG,SPY,AAPL,CISCO
1/3/12,160.8308812,179.03,53.0632178,15.75277818
1/4/12,160.174781,177.51,53.34838598,16.05717969
1/5/12,159.415086,177.61,53.94065836,15.9979905
1/6/12,157.5849117,182.61,54.50454295,15.93880132
1/9/12,156.7647865,178.56,54.41808925,16.04026849
1/10/12,156.5230653,179.34,54.61293267,15.92189013
1/11/12,157.394988,178.9,54.52389826,16.12482447
1/12/12,155.8669651,175.93,54.37421722,16.19246925
1/13/12,154.6669924,178.42,54.17034133,16.11636887
1/17/12,155.3921558,181.66,54.80132432,16.32353101
1/18/12,156.3158758,189.44,55.37037033,16.52223755
1/19/12,155.8410664,194.45,55.19488222,16.73362749
1/20/12,162.7473845,190.93,54.23356866,16.84355026
1/23/12,164.0077875,186.09,55.15088115,16.76744988
1/24/12,165.6912025,187,54.24776255,16.75476648
1/25/12,165.5185446,187.8,57.63494118,16.76744988
1/26/12,164.8710773,193.316,57.37299937,16.76744988
1/27/12,164.4221666,195.37,57.71494312,16.53914875
1/30/12,166.1832777,192.15,58.45431582,16.53914875
1/31/12,166.2696067,194.44,58.90206858,16.61102132
2/1/12,166.2868724,179.46,58.86464832,16.74208309
2/2/12,165.3458866,181.72,58.72658047,16.74208309
2/3/12,167.167428,187.68,59.31498178,16.98729541
2/6/12,166.4595304,183.14,59.86854355,17.07185139
2/7/12,166.917074,184.19,60.49565548,17.08030699
2/8/12,167.2192254,185.48,61.50858318,17.27478573
2/9/12,167.3752216,184.98,63.63637654,16.91119504
2/10/12,166.7599033,185.54,63.66863538,16.82241126
2/13/12,166.9332324,191.59,64.85318013,16.93656183
2/14/12,166.5865743,191.3,65.73836282,16.97038422
2/15/12,166.6125736,184.47,64.21703573,16.83509466
2/16/12,167.2798906,179.93,64.80285634,17.07185139
2/17/12,167.6265487,182.5,64.79124315,17.15640736
2/21/12,167.6005493,182.26,66.43386349,17.21559655
2/22/12,168.0165391,180.58,66.20030946,17.01266221
2/23/12,171.2577928,178.89,66.63257797,17.10567378
2/24/12,171.3877896,179.13,67.40937094,17.0295734
2/27/12,171.1884612,178.53,67.84163945,17.05494019
2/28/12,171.5784516,183.8,69.08683083,17.08030699
2/29/12,170.4951449,179.69,69.99394953,16.80972787
3/1/12,171.1884612,180.04,70.25589134,16.80972787
3/2/12,172.2977673,179.3,70.34750646,16.7082607
3/5/12,173.9010612,180.26,68.79650123,16.57297114
3/6/12,170.954467,181.09,68.42229864,16.47150397
3/7/12,171.3964561,183.77,68.47778385,16.41231478
3/8/12,173.1644127,187.64,69.93588361,16.64061592
3/9/12,173.8663954,184.32,70.3462161,16.74208309
3/12/12,174.1957207,183.39,71.22752772,16.76744988
3/13/12,176.6049948,184.59,73.30499728,17.09721818
3/14/12,177.4196415,182.26,76.07667717,17.07607919
3/15/12,178.5289475,184.43,75.55795495,16.83509466
3/16/12,178.537614,185.05,75.55924531,16.93656183
3/19/12,178.2862868,185.52,77.5631647,17.0295734
3/20/12,177.0123181,192.33,78.19027663,17.3931641
3/21/12,177.3936421,191.73,77.74381423,17.33397491
3/22/12,178.0869584,192.4,77.33606244,17.23250774
3/23/12,178.078292,195.04,76.91153605,17.35934171
3/26/12,180.0629099,202.87,78.32189271,17.62146523
3/27/12,179.5515891,205.44,79.28965804,17.68065441
3/28/12,179.6469201,201.16,79.69482912,17.82439957
3/29/12,180.4962326,204.61,78.6935146,17.78212158
3/30/12,180.8255578,202.51,77.36315987,17.88358875
4/2/12,181.536207,198.05,79.82515485,17.91741114
4/3/12,181.5622064,199.66,81.20454302,17.67219881
4/4/12,178.5722798,193.99,80.55807578,17.28174677
4/5/12,178.0696255,194.39,81.76713726,17.16291354
4/9/12,177.6103034,191.87,82.09617747,16.94222326
4/10/12,175.348359,186.98,81.09099189,16.59421166
4/11/12,175.5650204,187.97,80.80195265,16.98890774
4/12/12,177.9396287,190.69,80.3593613,17.02710414
4/13/12,175.7556823,188.46,78.0960808,16.8488543
4/16/12,175.6863507,185.5,74.85729286,16.7427532
4/17/12,179.7855833,188.39,78.67286894,17.04408032
4/18/12,173.4417392,191.07,78.49738082,17.02710414
4/19/12,172.9044191,191.1,75.80054146,16.89553878
4/20/12,172.9824171,189.98,73.93468992,16.89978282
4/23/12,172.1331047,188.24,73.76952464,16.7045568
4/24/12,173.3290753,190.33,72.29594064,16.48386652
4/25/12,176.4229993,194.42,78.71157955,16.54328313
4/26/12,178.1649565,195.99,78.41479818,16.6366521
4/27/12,179.2309303,226.85,77.80833192,16.95919944
4/30/12,179.4649246,231.9,75.35407906,17.10774097
5/1/12,180.2622383,230.04,75.11536361,16.95919944
